x y S
2712.1526623133395 122.54550303112475 58
2889.6437021857714 71.07610936829042 24
3025.5037944286837 103.47851162827264 23
2385.035629481778 -4.441282311734507 67
0.0 0.0 18
0.0 0.0 87
2971.6557485529324 57.100902244111346 93
3026.39977926507 -225.52239166648565 4
3122.100438204768 -212.82093327755376 35
0.0 0.0 41
0.0 0.0 99
0.0 0.0 94
3014.4509829453177 33.47573063288701 98
3229.680531817327 -502.58575083381527 79
2735.1335347733016 8.184997621268192 33
2451.8010707698936 31.160160189716503 50
2617.669868856449 -589.1567264452394 16
3308.5556083858855 -493.63831476097107 78
0.0 0.0 12
0.0 0.0 28
2633.131083072356 -660.3213995706049 85
2652.168886120641 -609.4146787007552 44
3339.5676225758357 -546.484223505325 18
0.0 0.0 70
0.0 0.0 62
0.0 0.0 75
